id,markdown_content
86c9wmdpm,"## Description métier

US complémentaire pour Fundamentals : alignement lifecycle 5 statuts, owner, champs P1 et cible API. US source 86c9nw8bu (qa) inchangée.

## Gouvernance — US sources (statuts protégés, non modifiées)

*   86c9nw8bu (qa) — Éditer Fundamentals

## Corrigé / aligné par rapport aux US sources

*   Statut système : alignement proposed/draft/active/deprecated/retired (pas Draft seul avant publish)
*   Name obligatoire produit (déjà dans source — rappel P1)

## Ajouté (delta backlog MVP)

*   Affichage lifecycle cohérent avec modèle produit
*   Owner / collaborateurs app-only (non exportés YAML sauf règle P1)
*   Cible PATCH API Fundamentals

## Exclu de cette US (autre liste ou obsolète)

*   Validation publish complète (SP5 5b)

## Reste porté par l’US source (QA historique)

*   Champs domain, descriptions, tags fundamentals
*   apiVersion/kind/id système non éditables
*   Erreurs champs obligatoires

## Périmètre

### Inclus

*   Formulaire FundamentalsSection
*   Champs P1 visibles et éditables si non locked
*   Génération YAML incluant fundamentals

### Exclus

*   Multi-owner avancé, approval workflow
*   Édition manuelle status/version système

## Critères d’acceptation

*   Les champs fundamentals sont éditables si contrat non locked
*   Le statut lifecycle affiché correspond au modèle 5 statuts
*   name obligatoire côté produit avant publish
*   Les champs système restent non éditables librement
*   Les modifications sont reflétées dans le YAML preview

## Cas d’erreur / limites

*   Champ obligatoire manquant → message inline

## Règles de gestion

*   Alignement odcs P1 et contractValidation publish

## Validation fonctionnelle

*   Proto : FundamentalsSection, ContractInfo fields
*   MVP : PATCH /contracts/{id}/fundamentals

## Validé sur prototype UX

*   FundamentalsSection, types ContractInfo status lifecycle

## Implémentation MVP cible

*   API PATCH fundamentals avec validation P1
*   Owner depuis session / collaborator stub

## Liens SP2 — Editor & Lifecycle (ne pas réimplémenter ici)

*   Règles structurelles transverses si impact schema — SP2

## Liens SP5 — Publish & GitOps

*   86c9n9a5b — Validation YAML pré-publication
"
86c9wmdnh,"## Description métier

US complémentaire pour la navigation entre sections du contrat : cues readiness sidebar, accès Versions sans switch Form/YAML, retrait Save draft. US source 86c9n9a4a (qa) inchangée.

## Gouvernance — US sources (statuts protégés, non modifiées)

*   86c9n9a4a (qa) — Navigation entre sections

## Corrigé / aligné par rapport aux US sources

*   Retrait exigence bouton Save draft (obsolète — autosave SP4)
*   Distinction cues sidebar vs readiness panel SP4

## Ajouté (delta backlog MVP)

*   Readiness cues sur sections si contrat éditable (sectionNavCues)
*   Section Versions accessible sans switch global Form/YAML
*   Sections alignées produit actuel (Fundamentals, Schema, gouvernance, YAML, Versions, etc.)

## Exclu de cette US (autre liste ou obsolète)

*   Édition tables/colonnes/relations (SP2)
*   Readiness panel complet avec score (SP4 5e)
*   Publish Git (SP5)

## Reste porté par l’US source (QA historique)

*   Navigation progressive entre sections
*   Indication section active
*   Accès YAML lecture seule depuis le shell

## Périmètre

### Inclus

*   Sidebar ContractSectionNav
*   Cues visuels par section (si règles sectionNavCues)
*   Versions : pas de toggle Form/YAML dans ContractTopBar
*   Publish depuis top bar quand éligible (renvoi SP5 pour exécution)

### Exclus

*   Save draft P0
*   Workflow collaboratif, commentaires
*   Éditeur schema détaillé

## Critères d’acceptation

*   La section active est visible dans la sidebar
*   Les cues n’apparaissent pas sur contrat read-only
*   Versions n’affiche pas le switch Form/YAML
*   Aucun bouton Save draft dans le shell navigation
*   L’utilisateur accède à Schema sans AC d’édition schema dans cette US

## Cas d’erreur / limites

*   Contrat locked → pas de cues édition, navigation read-only OK

## Règles de gestion

*   SP1 = shell navigation uniquement
*   86c9n9a4a dépend des sections SP2 pour le comportement Schema

## Validation fonctionnelle

*   Proto : ContractSectionNav, shouldShowSectionNavProgressCue, Versions sans view toggle
*   MVP : lock API + mêmes règles cues

## Validé sur prototype UX

*   ContractSectionNav.tsx, sectionNavCues.ts
*   ContractTopBar hideViewToggle sur section versions

## Implémentation MVP cible

*   API lock status drive cues visibility

## Liens SP2 — Editor & Lifecycle (ne pas réimplémenter ici)

*   86c9n9a4e — Édition schéma (tables/champs)
*   86c9n9a4r — Relations entre tables
*   86c9nw8fj — Verrouillage contrat actif

## Liens SP4 — Versioning

*   86c9n9a55 — Autosave (remplace Save draft)
*   86c9n9a5e — Readiness panel (pas les cues sidebar SP1)
*   86c9n9a6m — Section Versions (timeline)

## Liens SP5 — Publish & GitOps

*   86c9n9a5u / 86c9n9a5z — Publish (hors create)
"
86c9wmdne,"## Description métier

US complémentaire pour l’onglet YAML : copy, download, preview reflétant l’état courant (working copy). US source 86c9nw8br (qa) inchangée.

## Gouvernance — US sources (statuts protégés, non modifiées)

*   86c9nw8br (qa) — YAML généré lecture seule

## Corrigé / aligné par rapport aux US sources

*   Synchronisation explicite = état courant en mémoire (pas seulement dernier save draft)
*   Actions Copy et Download documentées

## Ajouté (delta backlog MVP)

*   Bouton Copy YAML (clipboard)
*   Bouton Download YAML (fichier .yaml nommé id\_version)
*   Indication export coverage / read-only

## Exclu de cette US (autre liste ou obsolète)

*   MD5, push Git, compare versions

## Reste porté par l’US source (QA historique)

*   YAML read-only pour tous les rôles
*   Génération depuis modèle ODCS P1
*   Pas d’édition inline YAML

## Périmètre

### Inclus

*   Onglet YAML dans le shell contrat
*   Preview texte généré par odcsYamlGenerator
*   Copy + Download sur le même contenu que la preview

### Exclus

*   Save draft
*   Édition YAML
*   Validation live avancée dans l’éditeur

## Critères d’acceptation

*   Le YAML affiché reflète le contrat courant (working copy) après modification
*   Copy copie l’intégralité du YAML visible
*   Download produit un fichier .yaml cohérent avec la preview
*   Aucun champ YAML n’est éditable
*   En révision (inRevision), le YAML reflète la working copy

## Cas d’erreur / limites

*   Clipboard refusé → feedback utilisateur

## Règles de gestion

*   Preview = source de vérité pour copy/download (yamlFileDownload)

## Validation fonctionnelle

*   Proto : YamlView copy/download, generateODCSYaml(contract)
*   MVP : preview serveur sur état courant brouillon

## Validé sur prototype UX

*   YamlView.tsx — Copy, Download, buildYamlDownloadFilename
*   odcsYamlGenerator.ts

## Implémentation MVP cible

*   GET preview YAML working copy
*   Download filename convention {id}\_{version}.yaml

## Liens SP4 — Versioning

*   Compare versions — SP4

## Liens SP5 — Publish & GitOps

*   Checksum MD5 sur version publiée — SP5 5n, pas dans cette US
"
86c9wmdnb,"## Description métier

US complémentaire alignant le parcours de création sur le prototype validé (mode choice, non-persistance) et le MVP (transaction create, statuts lifecycle produit). Les US sources 86c9n9a3v et 86c9n9a48 restent en QA inchangées.

## Gouvernance — US sources (statuts protégés, non modifiées)

*   86c9n9a3v (qa) — Créer un nouveau data contract
*   86c9n9a48 (qa) — Start from scratch / fallback — couverture explicite dans cette CREATE

## Corrigé / aligné par rapport aux US sources

*   Plus de création Draft immédiate + redirection DDL seule au clic Create Contract
*   Statut initial import → proposed (pas draft à la création)
*   Statut initial scratch → draft après validation du parcours

## Ajouté (delta backlog MVP)

*   Écran create two-step : cartes Import DDL / Start from scratch avant toute persistance
*   Aucun contrat enregistré tant que l’utilisateur n’a pas validé import ou scratch
*   Transaction create API avec owner par défaut
*   Back to creation options depuis le formulaire DDL

## Exclu de cette US (autre liste ou obsolète)

*   Parser SQL CREATE TABLE, validation types, injection tables/FK
*   Publish, readiness panel, Git

## Reste porté par l’US source (QA historique)

*   Intention produit « créer un contrat » et tests QA historiques sur 3v/48
*   Fallback manuel toujours secondaire au parcours DDL recommandé

## Périmètre

### Inclus

*   Bouton Create Contract → vue mode choice (pas de contrat créé)
*   Carte Import DDL → parcours import → contrat proposed + Fundamentals
*   Carte Start from scratch → contrat draft + schéma vide + Fundamentals
*   Owner par défaut = créateur
*   Publish désactivé tant que non publiable

### Exclus

*   Persistance avant choix de mode
*   Redirect automatique vers textarea SQL sans mode choice
*   Parser DDL (SP3)
*   Templates, IA, import Zeenea

## Critères d’acceptation

*   Create Contract ouvre la vue two-step sans persister de contrat
*   Import DDL réussi crée un contrat proposed et ouvre Fundamentals
*   Start from scratch crée un contrat draft (schéma vide) et ouvre Fundamentals
*   Back to creation options ramène au mode choice sans contrat fantôme
*   Aucune écriture localStorage/API avant succès du parcours choisi
*   Owner visible dans le registry après création

## Cas d’erreur / limites

*   Échec parse DDL → message utilisateur, pas de contrat proposed créé
*   Abandon avant validation → aucun contrat persisté

## Règles de gestion

*   Aligné doc produit §7 — séparation mode choice / import
*   86c9n9a48 couvert ici — pas de CREATE scratch séparée

## Validation fonctionnelle

*   Proto : CreateContractView, createContract manual/import
*   MVP : API POST create avec statut proposed ou draft selon mode

## Validé sur prototype UX

*   CreateContractView — cartes Import DDL / Start from scratch
*   createContract.ts — creationSource import/manual, status proposed/draft
*   Pas de saveContracts avant onParsed / onStartFromScratch

## Implémentation MVP cible

*   Endpoint transaction create (proposed | draft)
*   Owner par défaut côté serveur
*   Idempotence abandon parcours (pas de brouillon orphelin)

## Liens SP3 — DDL Import (ne pas réimplémenter ici)

*   86c9n9a44 — Import DDL (parser, schéma initial)
*   86c9n9a47 — Conversion DDL → schéma ODCS éditable

## Liens SP4 — Versioning

*   proposed → Start drafting (lifecycle SP4)

## Liens SP5 — Publish & GitOps

*   86c9n9a5u / 86c9n9a5z — Publish (hors create)
"
86c9wmdnc,"## Description métier

US complémentaire : la recherche backlog est confirmée dans le MVP. L’US source 86c9n9a3w (qa) excluait la recherche — cette CREATE porte le delta sans réécrire l’US protégée.

## Gouvernance — US sources (statuts protégés, non modifiées)

*   86c9n9a3w (qa) — Liste des data contracts

## Corrigé / aligné par rapport aux US sources

*   AC « aucune recherche dans le MVP » remplacés par exigences search dans cette US
*   Statuts lifecycle produit (5 statuts) vs ancien triptyque Draft/Active/Deprecated seul

## Ajouté (delta backlog MVP)

*   Recherche par nom de contrat
*   Recherche par ID contrat
*   Filtre par statut lifecycle (proposed, draft, active, deprecated, retired)
*   Pagination et tri côté API/query

## Exclu de cette US (autre liste ou obsolète)

*   Réécriture de la description de 86c9n9a3w

## Reste porté par l’US source (QA historique)

*   Page Contracts, colonnes, empty state, ouverture détail, Create Contract
*   Exclusion soft-deleted de la liste principale

## Périmètre

### Inclus

*   Champ Search (nom + ID)
*   Filtre lifecycle
*   Pagination UI + tri colonnes
*   Compteur / table / navigation latérale

### Exclus

*   Bulk actions, export, colonnes personnalisables, corbeille
*   Compare versions (SP4)

## Critères d’acceptation

*   La recherche filtre par titre et par id (insensible à la casse côté produit)
*   Le filtre lifecycle restreint la liste aux statuts sélectionnés
*   La pagination fonctionne avec la recherche active
*   Le tri par colonne fonctionne avec recherche + filtre
*   État vide explicite si aucun résultat

## Cas d’erreur / limites

*   Query invalide → liste vide ou message, pas d’erreur silencieuse

## Règles de gestion

*   Recherche MVP confirmée PO — portée par cette CREATE, pas UPDATE 3w

## Validation fonctionnelle

*   Proto : ContractsBacklog search + lifecycleFilter + pagination
*   MVP : API liste avec query params search, status, sort, page

## Validé sur prototype UX

*   ContractsBacklog.tsx — Search input, lifecycle filter, sort, PAGE\_SIZE

## Implémentation MVP cible

*   GET /contracts?search=&status=&sort=&page=
*   Cohérence filtres avec statuts ODCS lifecycle produit

## Liens SP4 — Versioning

*   Colonnes version enrichies si hors registry — SP4

## Liens SP6 — Auth (si applicable)

*   Auth / visibilité liste — SP6 si plateforme
"
86c9wp7a9,"## Description métier

Application UX des règles de verrouillage sur la section Schema — pas les règles lifecycle backend (SP4). US source 86c9nw8fj (prêt à déployer) inchangée.

## Gouvernance — US sources (statuts protégés, non modifiées)

*   86c9nw8fj — prêt à déployer — lifecycle & locking

## Corrigé / aligné par rapport aux US sources

*   Schema read-only en active sans Revision open
*   Schema éditable en draft ou active+inRevision
*   Pas Save draft — autosave SP4

## Ajouté (delta backlog MVP)

*   isContractLocked appliqué SchemaSection/TableBlock
*   Masquage Add/Delete/Rename si verrouillé
*   denseReadOnly sur vue publiée compacte

## Exclu de cette US (autre liste ou obsolète)

*   Immutabilité API backend (86c9nw8d4 — REPORT SP4)
*   New version workflow détaillé (SP4 5x)
*   Publish exécution (SP5)

## Reste porté par l’US source (QA historique)

*   Intention verrouillage Active historique US fj

## Périmètre

### Inclus

*   Guards UI sur toutes actions schema
*   Feedback visuel lecture seule
*   New version disponible depuis UI (lien SP4)

### Exclus

*   Override admin déverrouillage
*   Modification silencieuse version publiée

## Critères d’acceptation

*   En active sans révision : schema non éditable
*   En inRevision : schema éditable
*   En proposed : schema locked, import section seule
*   Viewer toujours read-only

## Cas d’erreur / limites

## Règles de gestion

*   SP2 = UX locks ; SP4 = règles métier lifecycle
*   Référence US source 86c9nw8fj

## Validation fonctionnelle

*   Proto isContractLocked sur SchemaSection
*   MVP permissions + lifecycle API

## Validé sur prototype UX

*   contractLifecycle.ts
*   App.tsx isLocked → SchemaSection

## Implémentation MVP cible

*   Policy engine + UI disable states

## Liens SP1 — Interfaces

*   86c9n9a4a — Navigation sections (CREATE alignement SP1)

## Liens SP4 — Versioning

*   86c9n9a5x — New version / Revision open
*   86c9n9a4t — proposed, Start drafting, re-import
*   86c9n9a55 — Autosave (pas Save draft)
*   Règles métier — pas ici

## Liens SP5 — Publish & GitOps

*   86c9n9a5u / 86c9n9a5z — Publish / Git (SP5)
*   Publish disabled UI — exécution SP5
"
86c9wp7a8,"## Description métier

US complémentaire pour l’édition schéma complète alignée prototype : tables, colonnes, dialogs metadata, FK colonne, propagation rename/delete. US source 86c9n9a4e (en cours) inchangée.

## Gouvernance — US sources (statuts protégés, non modifiées)

*   86c9n9a4e — en cours — schema editor

## Corrigé / aligné par rapport aux US sources

*   Contrat éditable en statut draft OU active avec Revision open (inRevision) — pas « Draft-only » ; proposed = import seulement ; active publié = lecture seule
*   Renommage table/colonne avec propagation schemaRelationshipRefs
*   FK colonne via ColumnForeignKeyEditor

## Ajouté (delta backlog MVP)

*   ColumnAdvancedDialog / TableAdvancedDialog (tags, auth defs, array items)
*   Classification, PK/REQ/UQ/CDE flags inline
*   Readiness anchors colonnes (descriptions) — score SP4

## Exclu de cette US (autre liste ou obsolète)

*   Import DDL (SP3)
*   Relations table-level (86c9n9a4r)
*   Quality rules structurées (86c9nw8cy)
*   Publish / Git

## Reste porté par l’US source (QA historique)

*   Titre et périmètre historique US 4e en QA en cours

## Périmètre

### Inclus

*   Liste tables, édition nom/description/type table
*   CRUD colonnes, logical/physical types
*   Field properties dialog
*   stablePropertyId / stableSchemaId

### Exclus

*   Édition YAML directe
*   Graphe relations obligatoire
*   Glossaire Zeenea automatique

## Critères d’acceptation

*   Modification table/colonne si editable status
*   FK colonne partielle bloquée à la sauvegarde
*   Rename propage FK et relationships
*   Verrouillage si proposed/active sans révision

## Cas d’erreur / limites

*   handleSchemaChange no-op si locked

## Règles de gestion

*   Référence US source 86c9n9a4e
*   Dual-track obligatoire

## Validation fonctionnelle

*   Proto SchemaSection + TableBlock + dialogs
*   MVP API dataset CRUD

## Validé sur prototype UX

*   SchemaSection.tsx, TableBlock.tsx
*   ColumnAdvancedDialog, TableAdvancedDialog
*   ColumnForeignKeyEditor, schemaRelationshipRefs
*   contractLifecycle isContractLocked

## Implémentation MVP cible

*   API CRUD schema ODCS
*   Validation structurelle serveur

## Liens SP1 — Interfaces

*   86c9n9a4a — Navigation sections (CREATE alignement SP1)
*   Section Schema — pas navigation ici

## Liens SP3 — DDL Import

*   86c9n9a47 — Mapping DDL → schéma (détection relations importées)
*   Schéma initial import — édition continue SP2

## Liens SP4 — Versioning

*   86c9n9a4t — proposed, Start drafting, re-import
*   86c9n9a5x — New version / Revision open
*   86c9n9a55 — Autosave (pas Save draft)

## Liens SP5 — Publish & GitOps

*   86c9n9a5b — Validation YAML pré-publication
"
86c9nw8dw,"## Description métier

Parcours UX de suppression logique (soft delete) depuis l’UI — métier audit et conservation versions/Git/checksums portés par SP4. Priorité normal (lifecycle + registry).

## Périmètre

### Inclus

*   Bouton Delete contrat + ConfirmDialog
*   Soft delete — retrait liste principale
*   Conservation historique technique (REPORT exécution SP4)
*   Contrat éditable en statut draft OU active avec Revision open (inRevision) — pas « Draft-only » ; proposed = import seulement ; active publié = lecture seule

### Exclus

*   Hard delete versions publiées / commits Git
*   Règles immutabilité API (SP4 — 86c9nw8d4 REPORT)
*   Implémentation backend soft delete complète (SP4 4t)

## Critères d’acceptation

*   Confirmation obligatoire
*   Après succès, contrat absent de la liste registry (SP1)
*   Versions publiées et audit conservés (SP4)

## Cas d’erreur / limites

*   Erreur backend → contrat reste visible

## Règles de gestion

*   REPORT métier soft delete → SP4
*   Priorité normal — impact lifecycle et visibilité registry

## Validation fonctionnelle

*   Proto ConfirmDialog pattern
*   MVP API soft delete + registry filter

## Hypothèses

## Validé sur prototype UX

*   ConfirmDialog usage pattern dans App

## Implémentation MVP cible

*   API DELETE soft + deletedAt
*   Registry SP1 filtre entrées supprimées

## Hors périmètre prototype

*   Purge RGPD automatisée
*   Corbeille restauration UI

## Liens SP1 — Interfaces

*   86c9n9a3w — Registry (liste contrats)

## Liens SP4 — Versioning

*   86c9n9a4t — soft delete contrat (métier audit)
*   Métier audit — ownership SP4

## Liens SP5 — Publish & GitOps

*   Conservation commits/checksums SP5
"
86c9nw8cy,"## Description métier

Édition et saisie des quality rules structurées (table et colonne) via QualityRulesEditor. Distinct de la readiness globale (SP4) et de la validation publish backend (SP5). Interdit : note libre, non bloquante, sans impact publish.

## Périmètre

### Inclus

*   Quality rules colonne (jusqu’à 3) dans ColumnAdvancedDialog
*   Quality rules table dans TableAdvancedDialog
*   aiVerified sur rules table (mock Verify with AI prototype)
*   Dimensions / severity / businessImpact (p1Constants)
*   Export quality\[\] dans YAML

### Exclus

*   Readiness panel score global (SP4 — 5e)
*   Validation publish YAML complète (SP5 — 5b)
*   SEMQL / moteur qualité exécutable
*   SLA / slaProperties (section gouvernance séparée)
*   Note libre non structurée sans aiVerified

## Critères d’acceptation

*   Saisie quality rule structurée table et colonne
*   Table rules : aiVerified requis pour publish (proto contractValidation)
*   Colonne : descriptions field quality comptent dans readiness SP4 (distinct)
*   Publish bloqué côté produit si table rules non vérifiées (via readiness/validation SP4/SP5)
*   Wording UI ne promet pas un moteur exécutable

## Cas d’erreur / limites

*   Publish tenté sans aiVerified table rules → message readiness/validation

## Règles de gestion

*   SP2 = saisie locale ; SP4 = readiness ; SP5 = validation publish
*   Ne pas documenter « sans impact publish »
*   Contrat éditable en statut draft OU active avec Revision open (inRevision) — pas « Draft-only » ; proposed = import seulement ; active publié = lecture seule

## Validation fonctionnelle

*   Proto QualityRulesEditor + validateQualityRules requireAiVerified
*   MVP règles alignées contractValidation serveur

## Hypothèses

## Validé sur prototype UX

*   QualityRulesEditor.tsx
*   contractValidation.ts validateQualityRules
*   TableAdvancedDialog showAiVerification

## Implémentation MVP cible

*   Persistance quality\[\] ODCS
*   Intégration readiness API + pre-publish validation

## Liens SP4 — Versioning

*   86c9n9a5e — Readiness panel (score, publiable)
*   Field quality descriptions — score SP4

## Liens SP5 — Publish & GitOps

*   86c9n9a5b — Validation YAML pré-publication
*   86c9n9a5u / 86c9n9a5z — Publish / Git (SP5)
"
86c9nc597,"## Description métier

Suppression colonne en contexte éditable ; impact sur FK/relations ; pas de Save draft.

## Périmètre

### Inclus

*   Delete field sur ligne colonne (TableBlock)
*   syncDatasetAfterTableUpdate / impact relations
*   Avertissement si colonne référencée par relation
*   Contrat éditable en statut draft OU active avec Revision open (inRevision) — pas « Draft-only » ; proposed = import seulement ; active publié = lecture seule

### Exclus

*   Suppression sur version publiée immutable
*   Undo multi-étapes / rollback Git
*   Résolution automatique relations sans confirmation UX

## Critères d’acceptation

*   Suppression colonne possible si non verrouillé
*   Impossible si contrat verrouillé
*   Relations utilisant la colonne nettoyées ou signalées
*   Readiness recalculée après suppression

## Cas d’erreur / limites

*   Dernière colonne d’une table → table non publiable

## Règles de gestion

*   Contrat éditable en statut draft OU active avec Revision open (inRevision) — pas « Draft-only » ; proposed = import seulement ; active publié = lecture seule
*   Autosave SP4 — pas Save draft P0

## Validation fonctionnelle

*   Proto TableBlock delete column
*   schemaRelationshipRefs column delete

## Hypothèses

## Validé sur prototype UX

*   TableBlock trash action
*   schemaRelationshipRefs

## Implémentation MVP cible

*   API delete property + relation cleanup

## Liens SP4 — Versioning

*   86c9n9a55 — Autosave (pas Save draft)
*   86c9n9a5e — Readiness panel (score, publiable)

## Liens SP5 — Publish & GitOps

*   86c9n9a5b — Validation YAML pré-publication
"
